mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
50908,CK-MB Index,49136-5,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: CK-MB Index,49136-5,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma,0.80,ok,CK-MB Index is MB/total ratio; serum/plasma approximates blood
50909,Cortisol,2143-6,Cortisol [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Cortisol,2143-6,Cortisol [Mass/volume] in Serum or Plasma,0.85,ok,Standard blood cortisol lab analyte; serum/plasma is the blood specimen
50910,Creatine Kinase (CK),,,"code-search proposed 50756-6 |Creatine kinase [Mass/volume] in Blood| at 0.75 for 'Hospital laboratory analyte measured in Blood: Creatine Kinase (CK)', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Creatine Kinase (CK),50756-6,Creatine kinase [Mass/volume] in Blood,0.75,below-threshold,Blood specimen matches; mass/volume vs enzymatic activity is a minor property mismatch
50911,"Creatine Kinase, MB Isoenzyme",49551-5,Creatine kinase.MB [Mass/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Creatine Kinase, MB Isoenzyme",49551-5,Creatine kinase.MB [Mass/volume] in Blood,0.85,ok,FSN matches: CK MB measured in Blood
50912,Creatinine,38483-4,Creatinine [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Creatinine,38483-4,Creatinine [Mass/volume] in Blood,0.85,ok,FSN matches blood creatinine analyte
50913,Cryoglobulin,78989-1,Cryoglobulin [Mass/volume] in Serum,,Hospital laboratory analyte measured in Blood: Cryoglobulin,78989-1,Cryoglobulin [Mass/volume] in Serum,0.80,ok,General cryoglobulin analyte; specimen Serum vs Blood minor mismatch
50914,Cyclosporin,3520-4,cycloSPORINE [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Cyclosporin,3520-4,cycloSPORINE [Mass/volume] in Blood,0.85,ok,FSN matches cyclosporine measured in blood
50915,D-Dimer,91556-1,Fibrin D-dimer [Mass/volume] in Blood by Immunoassay.DDU,,Hospital laboratory analyte measured in Blood: D-Dimer,91556-1,Fibrin D-dimer [Mass/volume] in Blood by Immunoassay.DDU,0.85,ok,D-Dimer in blood; method is structural LOINC detail
50916,DHEA-Sulfate,2191-5,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: DHEA-Sulfate,2191-5,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,0.85,ok,DHEA-S measured in blood (serum/plasma); mass/volume is standard
50917,Digoxin,10535-3,Digoxin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Digoxin,10535-3,Digoxin [Mass/volume] in Serum or Plasma,0.85,ok,Digoxin analyte measured in blood; serum/plasma matches blood
50918,Double Stranded DNA,72496-3,DNA double strand [Mass/volume] in Specimen,,Hospital laboratory analyte measured in Blood: Double Stranded DNA,72496-3,DNA double strand [Mass/volume] in Specimen,0.80,ok,Analyte 'DNA double strand' matches; specimen vs blood minor qualifier mismatch
50919,EDTA Hold,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EDTA Hold' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EDTA Hold,,,,no-match,
50920,Estimated GFR (MDRD equation),77147-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M",,Hospital laboratory analyte measured in Blood: Estimated GFR (MDRD equation),77147-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M",0.95,ok,FSN matches MDRD-estimated GFR in blood
50921,Estradiol,2243-4,Estradiol (E2) [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Estradiol,2243-4,Estradiol (E2) [Mass/volume] in Serum or Plasma,0.85,ok,Estradiol measured in blood; Serum/Plasma is the blood specimen
50922,Ethanol,5640-8,Ethanol [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Ethanol,5640-8,Ethanol [Mass/volume] in Blood,0.85,ok,FSN matches Ethanol in Blood; generic quantitative measure
50923,Fax,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Fax' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Fax,,,,no-match,
50924,Ferritin,24373-3,Ferritin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Ferritin,24373-3,Ferritin [Mass/volume] in Blood,0.85,ok,Ferritin measured in blood; quantitative mass/volume is the standard test
50925,Folate,2282-2,Folate [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Folate,2282-2,Folate [Mass/volume] in Blood,0.85,ok,Folate analyte measured in blood; quantitative mass/volume is the standard test
50926,Follicle Stimulating Hormone,15067-2,Follitropin [Units/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Follicle Stimulating Hormone,15067-2,Follitropin [Units/volume] in Serum or Plasma,0.85,ok,FSH measured in blood; serum/plasma is the blood specimen
50927,Gamma Glutamyltransferase,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Gamma Glutamyltransferase,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,0.85,ok,GGT measured in blood; serum/plasma is the blood specimen
50928,Gastrin,2333-3,Gastrin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Gastrin,2333-3,Gastrin [Mass/volume] in Serum or Plasma,0.85,ok,Gastrin measured in blood; serum/plasma is the standard specimen
50929,Gentamicin,35668-3,Gentamicin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Gentamicin,35668-3,Gentamicin [Mass/volume] in Serum or Plasma,0.85,ok,"Gentamicin measured in blood; general serum/plasma assay, no unstated peak/trough"
50930,Globulin,,,"code-search proposed 2336-6 |Globulin [Mass/volume] in Serum| at 0.75 for 'Hospital laboratory analyte measured in Blood: Globulin', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Globulin,2336-6,Globulin [Mass/volume] in Serum,0.75,below-threshold,Globulin analyte; serum is standard specimen for blood globulin
50931,Glucose,2339-0,Glucose [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Glucose,2339-0,Glucose [Mass/volume] in Blood,0.85,ok,Generic blood glucose analyte; matches input
50932,Gray Top Hold (plasma),,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Gray Top Hold (plasma)' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Gray Top Hold (plasma),,,,no-match,
50933,Green Top Hold (plasma),,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Green Top Hold (plasma)' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Green Top Hold (plasma),,,,no-match,
50934,H,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: H' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: H,,,,no-match,
50935,Haptoglobin,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Haptoglobin,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,0.85,ok,Haptoglobin measured in blood; generic serum/plasma assay matches
50936,"HCG, Maternal Screen",,,"code-search proposed 48800-7 |Second trimester quad maternal screen panel - Serum or Plasma| at 0.70 for 'Hospital laboratory analyte measured in Blood: HCG, Maternal Screen', below the 0.8 threshold.","Hospital laboratory analyte measured in Blood: HCG, Maternal Screen",48800-7,Second trimester quad maternal screen panel - Serum or Plasma,0.70,below-threshold,Maternal screen panel measuring HCG in blood; trimester unspecified
50937,Hepatitis A Virus Antibody,20575-7,Hepatitis A virus Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis A Virus Antibody,20575-7,Hepatitis A virus Ab [Presence] in Serum,0.85,ok,HAV antibody analyte matches; serum is the standard blood specimen for this test
50938,Hepatitis A Virus IgM Antibody,22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis A Virus IgM Antibody,22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,0.85,ok,"HAV IgM antibody in blood; serum is blood specimen, presence is standard"
50939,"Hepatitis B Core Antibody, IgM",31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum,,"Hospital laboratory analyte measured in Blood: Hepatitis B Core Antibody, IgM",31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum,0.80,ok,Matches HBV core IgM analyte and property; specimen Serum vs Blood minor mismatch
50940,Hepatitis B Surface Antibody,22322-2,Hepatitis B virus surface Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis B Surface Antibody,22322-2,Hepatitis B virus surface Ab [Presence] in Serum,0.80,ok,General HBsAb presence test; specimen serum vs blood minor mismatch
50941,Hepatitis B Surface Antigen,5195-3,Hepatitis B virus surface Ag [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis B Surface Antigen,5195-3,Hepatitis B virus surface Ag [Presence] in Serum,0.85,ok,HBsAg analyte; serum is standard blood specimen
50942,Hepatitis B Virus Core Antibody,16933-4,Hepatitis B virus core Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis B Virus Core Antibody,16933-4,Hepatitis B virus core Ab [Presence] in Serum,0.90,ok,"General HBV core antibody, no IgG/IgM qualifier; serum is blood specimen"
50943,Hepatitis C Virus Antibody,16128-1,Hepatitis C virus Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Hepatitis C Virus Antibody,16128-1,Hepatitis C virus Ab [Presence] in Serum,0.80,ok,General HCV antibody test; specimen Serum vs Blood minor mismatch
50945,Homocysteine,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Homocysteine' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Homocysteine,,,,no-match,
50946,Human Chorionic Gonadotropin,34670-0,Choriogonadotropin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Human Chorionic Gonadotropin,34670-0,Choriogonadotropin [Mass/volume] in Serum or Plasma,0.85,ok,Generic quantitative HCG measured in blood (serum/plasma)
50947,I,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: I' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: I,,,,no-match,
50948,Immunofixation,25700-6,Immunofixation for Serum or Plasma,,Hospital laboratory analyte measured in Blood: Immunofixation,25700-6,Immunofixation for Serum or Plasma,0.85,ok,Blood immunofixation; serum/plasma is the blood specimen
50949,Immunoglobulin A,2458-8,IgA [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Immunoglobulin A,2458-8,IgA [Mass/volume] in Serum or Plasma,0.85,ok,IgA analyte measured in blood (serum/plasma); general match
50950,Immunoglobulin G,2465-3,IgG [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Immunoglobulin G,2465-3,IgG [Mass/volume] in Serum or Plasma,0.85,ok,IgG analyte measured in blood (serum/plasma); matches analyte and property
50951,Immunoglobulin M,2472-9,IgM [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Immunoglobulin M,2472-9,IgM [Mass/volume] in Serum or Plasma,0.85,ok,Quantitative IgM analyte measured in blood
50952,Iron,2498-4,Iron [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Iron,2498-4,Iron [Mass/volume] in Serum or Plasma,0.85,ok,Iron analyte measured in blood; serum/plasma is the standard blood specimen
50953,"Iron Binding Capacity, Total",2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Iron Binding Capacity, Total",2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,0.85,ok,TIBC (total iron binding capacity); matches 'Total' qualifier
50954,Lactate Dehydrogenase (LD),,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Lactate Dehydrogenase (LD)' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Lactate Dehydrogenase (LD),,,,no-match,
50955,Light Green Top Hold,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Light Green Top Hold' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Light Green Top Hold,,,,no-match,
50956,Lipase,3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Lipase,3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,0.85,ok,Blood lipase measured in serum/plasma; closest match
50957,Lithium,25461-5,"Lithium, [Moles/volume] in Blood",,Hospital laboratory analyte measured in Blood: Lithium,25461-5,"Lithium, [Moles/volume] in Blood",0.85,ok,Lithium analyte measured in blood; matches input
50958,Luteinizing Hormone,10501-5,Lutropin [Units/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Luteinizing Hormone,10501-5,Lutropin [Units/volume] in Serum or Plasma,0.85,ok,Luteinizing hormone (lutropin) measured in blood; matches analyte and specimen
50959,Macro Prolactin,,,"code-search proposed 78984-2 |Macroprolactin/Prolactin in Serum or Plasma| at 0.75 for 'Hospital laboratory analyte measured in Blood: Macro Prolactin', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Macro Prolactin,78984-2,Macroprolactin/Prolactin in Serum or Plasma,0.75,below-threshold,"Closest macroprolactin blood analyte; ratio form, minor specificity mismatch"
50960,Magnesium,21377-7,Magnesium [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Magnesium,21377-7,Magnesium [Mass/volume] in Blood,0.85,ok,Generic blood magnesium analyte; mass/volume is the standard measure
50961,Methotrexate,3793-7,Methotrexate [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Methotrexate,3793-7,Methotrexate [Mass/volume] in Serum or Plasma,0.85,ok,Blood methotrexate analyte; serum/plasma is the blood specimen
50962,N-Acetylprocainamide (NAPA),60042-9,N-acetylprocainamide [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: N-Acetylprocainamide (NAPA),60042-9,N-acetylprocainamide [Mass/volume] in Blood,0.85,ok,FSN matches NAPA measured in blood
50963,NTproBNP,71425-3,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Blood by Immunoassay,,Hospital laboratory analyte measured in Blood: NTproBNP,71425-3,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Blood by Immunoassay,0.85,ok,NTproBNP measured in Blood; FSN matches exactly
50964,"Osmolality, Measured",2692-2,Osmolality of Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Osmolality, Measured",2692-2,Osmolality of Serum or Plasma,0.85,ok,Measured blood osmolality; serum/plasma is the standard blood specimen
50965,Parathyroid Hormone,2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Parathyroid Hormone,2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma,0.85,ok,Standard PTH lab test in blood; intact PTH is the usual analyte
50966,Phenobarbital,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Phenobarbital' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Phenobarbital,,,,no-match,
50967,Phenytoin,3968-5,Phenytoin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Phenytoin,3968-5,Phenytoin [Mass/volume] in Serum or Plasma,0.85,ok,Standard blood phenytoin measurement; serum/plasma is blood specimen
50968,"Phenytoin, Free",3969-3,Phenytoin Free [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Phenytoin, Free",3969-3,Phenytoin Free [Mass/volume] in Serum or Plasma,0.85,ok,Free phenytoin measured in blood (serum/plasma); matches analyte and specimen
50969,"Phenytoin, Percent Free",10548-6,Phenytoin Free/Phenytoin.total in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Phenytoin, Percent Free",10548-6,Phenytoin Free/Phenytoin.total in Serum or Plasma,0.85,ok,Percent Free = free fraction; FSN matches blood free fraction
50970,Phosphate,2774-8,Phosphate [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Phosphate,2774-8,Phosphate [Mass/volume] in Blood,0.85,ok,FSN matches Phosphate measured in Blood
50971,Potassium,6298-4,Potassium [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Potassium,6298-4,Potassium [Moles/volume] in Blood,0.85,ok,Potassium analyte measured in blood; standard lab test
